id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-23T00:00:00,Aceh Barat Daya,2023-11-23 00:00:00,60,Hujan Ringan,95,24,75
Aceh Barat Daya_2023-11-23T06:00:00,Aceh Barat Daya,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Barat Daya_2023-11-23T12:00:00,Aceh Barat Daya,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Barat Daya_2023-11-23T18:00:00,Aceh Barat Daya,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Barat_2023-11-23T00:00:00,Aceh Barat,2023-11-23 00:00:00,95,Hujan Petir,95,24,75
Aceh Barat_2023-11-23T06:00:00,Aceh Barat,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Barat_2023-11-23T12:00:00,Aceh Barat,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Barat_2023-11-23T18:00:00,Aceh Barat,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Besar_2023-11-23T00:00:00,Aceh Besar,2023-11-23 00:00:00,60,Hujan Ringan,95,24,75
Aceh Besar_2023-11-23T06:00:00,Aceh Besar,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Besar_2023-11-23T12:00:00,Aceh Besar,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Besar_2023-11-23T18:00:00,Aceh Besar,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Jaya_2023-11-23T00:00:00,Aceh Jaya,2023-11-23 00:00:00,60,Hujan Ringan,95,24,75
Aceh Jaya_2023-11-23T06:00:00,Aceh Jaya,2023-11-23 06:00:00,60,Hujan Ringan,65,29,84
Aceh Jaya_2023-11-23T12:00:00,Aceh Jaya,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Jaya_2023-11-23T18:00:00,Aceh Jaya,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Selatan_2023-11-23T00:00:00,Aceh Selatan,2023-11-23 00:00:00,60,Hujan Ringan,95,24,75
Aceh Selatan_2023-11-23T06:00:00,Aceh Selatan,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Selatan_2023-11-23T12:00:00,Aceh Selatan,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Selatan_2023-11-23T18:00:00,Aceh Selatan,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Singkil_2023-11-23T00:00:00,Aceh Singkil,2023-11-23 00:00:00,60,Hujan Ringan,95,24,75
Aceh Singkil_2023-11-23T06:00:00,Aceh Singkil,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Singkil_2023-11-23T12:00:00,Aceh Singkil,2023-11-23 12:00:00,61,Hujan Sedang,90,25,77
Aceh Singkil_2023-11-23T18:00:00,Aceh Singkil,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Tamiang_2023-11-23T00:00:00,Aceh Tamiang,2023-11-23 00:00:00,3,Berawan,95,24,75
Aceh Tamiang_2023-11-23T06:00:00,Aceh Tamiang,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Tamiang_2023-11-23T12:00:00,Aceh Tamiang,2023-11-23 12:00:00,95,Hujan Petir,90,25,77
Aceh Tamiang_2023-11-23T18:00:00,Aceh Tamiang,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Tengah_2023-11-23T00:00:00,Aceh Tengah,2023-11-23 00:00:00,60,Hujan Ringan,100,17,63
Aceh Tengah_2023-11-23T06:00:00,Aceh Tengah,2023-11-23 06:00:00,95,Hujan Petir,80,24,75
Aceh Tengah_2023-11-23T12:00:00,Aceh Tengah,2023-11-23 12:00:00,60,Hujan Ringan,100,19,66
Aceh Tengah_2023-11-23T18:00:00,Aceh Tengah,2023-11-23 18:00:00,60,Hujan Ringan,100,18,64
Aceh Tenggara_2023-11-23T00:00:00,Aceh Tenggara,2023-11-23 00:00:00,1,Cerah Berawan,100,17,63
Aceh Tenggara_2023-11-23T06:00:00,Aceh Tenggara,2023-11-23 06:00:00,60,Hujan Ringan,80,24,75
Aceh Tenggara_2023-11-23T12:00:00,Aceh Tenggara,2023-11-23 12:00:00,60,Hujan Ringan,100,19,66
Aceh Tenggara_2023-11-23T18:00:00,Aceh Tenggara,2023-11-23 18:00:00,60,Hujan Ringan,100,18,64
Aceh Timur_2023-11-23T00:00:00,Aceh Timur,2023-11-23 00:00:00,95,Hujan Petir,95,24,75
Aceh Timur_2023-11-23T06:00:00,Aceh Timur,2023-11-23 06:00:00,95,Hujan Petir,65,29,84
Aceh Timur_2023-11-23T12:00:00,Aceh Timur,2023-11-23 12:00:00,95,Hujan Petir,90,25,77
Aceh Timur_2023-11-23T18:00:00,Aceh Timur,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Aceh Utara_2023-11-23T00:00:00,Aceh Utara,2023-11-23 00:00:00,95,Hujan Petir,95,24,75
Aceh Utara_2023-11-23T06:00:00,Aceh Utara,2023-11-23 06:00:00,63,Hujan Lebat,65,29,84
Aceh Utara_2023-11-23T12:00:00,Aceh Utara,2023-11-23 12:00:00,60,Hujan Ringan,90,25,77
Aceh Utara_2023-11-23T18:00:00,Aceh Utara,2023-11-23 18:00:00,60,Hujan Ringan,95,24,75
Agam_2023-11-23T00:00:00,Agam,2023-11-23 00:00:00,3,Berawan,95,22,72
Agam_2023-11-23T06:00:00,Agam,2023-11-23 06:00:00,3,Berawan,75,25,77
Agam_2023-11-23T12:00:00,Agam,2023-11-23 12:00:00,3,Berawan,100,22,72
Agam_2023-11-23T18:00:00,Agam,2023-11-23 18:00:00,3,Berawan,95,21,70
Alor_2023-11-23T00:00:00,Alor,2023-11-23 00:00:00,1,Cerah Berawan,75,29,84
Alor_2023-11-23T06:00:00,Alor,2023-11-23 06:00:00,1,Cerah Berawan,65,34,93
Alor_2023-11-23T12:00:00,Alor,2023-11-23 12:00:00,1,Cerah Berawan,80,26,79
Alor_2023-11-23T18:00:00,Alor,2023-11-23 18:00:00,1,Cerah Berawan,90,24,75
Ambon_2023-11-23T00:00:00,Ambon,2023-11-23 00:00:00,3,Berawan,80,27,81
Ambon_2023-11-23T06:00:00,Ambon,2023-11-23 06:00:00,3,Berawan,60,33,91
Ambon_2023-11-23T12:00:00,Ambon,2023-11-23 12:00:00,4,Berawan Tebal,90,27,81
Ambon_2023-11-23T18:00:00,Ambon,2023-11-23 18:00:00,60,Hujan Ringan,95,23,73
Anambas_2023-11-23T00:00:00,Anambas,2023-11-23 00:00:00,95,Hujan Petir,85,28,82
Anambas_2023-11-23T06:00:00,Anambas,2023-11-23 06:00:00,61,Hujan Sedang,75,31,88
Anambas_2023-11-23T12:00:00,Anambas,2023-11-23 12:00:00,60,Hujan Ringan,85,28,82
Anambas_2023-11-23T18:00:00,Anambas,2023-11-23 18:00:00,60,Hujan Ringan,95,23,73
Asahan_2023-11-23T00:00:00,Asahan,2023-11-23 00:00:00,60,Hujan Ringan,85,23,73
