id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat_2023-11-20T12:00:00,Aceh Barat,2023-11-20 12:00:00,95,Hujan Petir,90,25,77
Aceh Barat_2023-11-20T18:00:00,Aceh Barat,2023-11-20 18:00:00,3,Berawan,95,25,77
Aceh Besar_2023-11-20T00:00:00,Aceh Besar,2023-11-20 00:00:00,3,Berawan,90,22,72
Aceh Besar_2023-11-20T06:00:00,Aceh Besar,2023-11-20 06:00:00,3,Berawan,65,31,88
Aceh Besar_2023-11-20T12:00:00,Aceh Besar,2023-11-20 12:00:00,3,Berawan,90,23,73
Aceh Besar_2023-11-20T18:00:00,Aceh Besar,2023-11-20 18:00:00,3,Berawan,95,21,70
Aceh Jaya_2023-11-20T00:00:00,Aceh Jaya,2023-11-20 00:00:00,1,Cerah Berawan,90,24,75
Aceh Jaya_2023-11-20T06:00:00,Aceh Jaya,2023-11-20 06:00:00,60,Hujan Ringan,65,31,88
Aceh Jaya_2023-11-20T12:00:00,Aceh Jaya,2023-11-20 12:00:00,60,Hujan Ringan,90,24,75
Aceh Jaya_2023-11-20T18:00:00,Aceh Jaya,2023-11-20 18:00:00,95,Hujan Petir,95,24,75
Aceh Selatan_2023-11-20T00:00:00,Aceh Selatan,2023-11-20 00:00:00,3,Berawan,90,23,73
Aceh Selatan_2023-11-20T06:00:00,Aceh Selatan,2023-11-20 06:00:00,95,Hujan Petir,65,31,88
Aceh Selatan_2023-11-20T12:00:00,Aceh Selatan,2023-11-20 12:00:00,60,Hujan Ringan,90,24,75
Aceh Selatan_2023-11-20T18:00:00,Aceh Selatan,2023-11-20 18:00:00,60,Hujan Ringan,95,23,73
Aceh Singkil_2023-11-20T00:00:00,Aceh Singkil,2023-11-20 00:00:00,3,Berawan,90,25,77
Aceh Singkil_2023-11-20T06:00:00,Aceh Singkil,2023-11-20 06:00:00,1,Cerah Berawan,65,31,88
Aceh Singkil_2023-11-20T12:00:00,Aceh Singkil,2023-11-20 12:00:00,60,Hujan Ringan,90,24,75
Aceh Singkil_2023-11-20T18:00:00,Aceh Singkil,2023-11-20 18:00:00,3,Berawan,95,24,75
Aceh Tamiang_2023-11-20T00:00:00,Aceh Tamiang,2023-11-20 00:00:00,3,Berawan,90,23,73
Aceh Tamiang_2023-11-20T06:00:00,Aceh Tamiang,2023-11-20 06:00:00,60,Hujan Ringan,65,31,88
Aceh Tamiang_2023-11-20T12:00:00,Aceh Tamiang,2023-11-20 12:00:00,61,Hujan Sedang,90,24,75
Aceh Tamiang_2023-11-20T18:00:00,Aceh Tamiang,2023-11-20 18:00:00,95,Hujan Petir,95,23,73
Aceh Tengah_2023-11-20T00:00:00,Aceh Tengah,2023-11-20 00:00:00,3,Berawan,100,20,68
Aceh Tengah_2023-11-20T06:00:00,Aceh Tengah,2023-11-20 06:00:00,3,Berawan,75,26,79
Aceh Tengah_2023-11-20T12:00:00,Aceh Tengah,2023-11-20 12:00:00,60,Hujan Ringan,100,19,66
Aceh Tengah_2023-11-20T18:00:00,Aceh Tengah,2023-11-20 18:00:00,60,Hujan Ringan,100,16,61
Aceh Tenggara_2023-11-20T00:00:00,Aceh Tenggara,2023-11-20 00:00:00,1,Cerah Berawan,90,21,70
Aceh Tenggara_2023-11-20T06:00:00,Aceh Tenggara,2023-11-20 06:00:00,1,Cerah Berawan,65,31,88
Aceh Tenggara_2023-11-20T12:00:00,Aceh Tenggara,2023-11-20 12:00:00,60,Hujan Ringan,90,21,70
Aceh Tenggara_2023-11-20T18:00:00,Aceh Tenggara,2023-11-20 18:00:00,1,Cerah Berawan,95,21,70
Aceh Timur_2023-11-20T00:00:00,Aceh Timur,2023-11-20 00:00:00,3,Berawan,90,24,75
Aceh Timur_2023-11-20T06:00:00,Aceh Timur,2023-11-20 06:00:00,3,Berawan,65,31,88
Aceh Timur_2023-11-20T12:00:00,Aceh Timur,2023-11-20 12:00:00,61,Hujan Sedang,90,25,77
Aceh Timur_2023-11-20T18:00:00,Aceh Timur,2023-11-20 18:00:00,95,Hujan Petir,95,24,75
