id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-26T00:00:00,Aceh Barat Daya,2023-11-26 00:00:00,3,Berawan,90,25,77
Aceh Barat Daya_2023-11-26T06:00:00,Aceh Barat Daya,2023-11-26 06:00:00,4,Berawan Tebal,75,30,86
Aceh Barat Daya_2023-11-26T12:00:00,Aceh Barat Daya,2023-11-26 12:00:00,3,Berawan,85,28,82
Aceh Barat Daya_2023-11-26T18:00:00,Aceh Barat Daya,2023-11-26 18:00:00,4,Berawan Tebal,95,24,75
Aceh Barat_2023-11-26T00:00:00,Aceh Barat,2023-11-26 00:00:00,60,Hujan Ringan,90,25,77
Aceh Barat_2023-11-26T06:00:00,Aceh Barat,2023-11-26 06:00:00,60,Hujan Ringan,75,30,86
Aceh Barat_2023-11-26T12:00:00,Aceh Barat,2023-11-26 12:00:00,60,Hujan Ringan,85,28,82
Aceh Barat_2023-11-26T18:00:00,Aceh Barat,2023-11-26 18:00:00,95,Hujan Petir,95,24,75
Aceh Besar_2023-11-26T00:00:00,Aceh Besar,2023-11-26 00:00:00,3,Berawan,90,25,77
Aceh Besar_2023-11-26T06:00:00,Aceh Besar,2023-11-26 06:00:00,95,Hujan Petir,75,30,86
Aceh Besar_2023-11-26T12:00:00,Aceh Besar,2023-11-26 12:00:00,3,Berawan,85,28,82
Aceh Besar_2023-11-26T18:00:00,Aceh Besar,2023-11-26 18:00:00,60,Hujan Ringan,95,24,75
Aceh Jaya_2023-11-26T00:00:00,Aceh Jaya,2023-11-26 00:00:00,60,Hujan Ringan,90,25,77
Aceh Jaya_2023-11-26T06:00:00,Aceh Jaya,2023-11-26 06:00:00,60,Hujan Ringan,75,30,86
Aceh Jaya_2023-11-26T12:00:00,Aceh Jaya,2023-11-26 12:00:00,60,Hujan Ringan,85,28,82
Aceh Jaya_2023-11-26T18:00:00,Aceh Jaya,2023-11-26 18:00:00,60,Hujan Ringan,95,24,75
Aceh Selatan_2023-11-26T00:00:00,Aceh Selatan,2023-11-26 00:00:00,1,Cerah Berawan,90,25,77
Aceh Selatan_2023-11-26T06:00:00,Aceh Selatan,2023-11-26 06:00:00,1,Cerah Berawan,75,30,86
Aceh Selatan_2023-11-26T12:00:00,Aceh Selatan,2023-11-26 12:00:00,3,Berawan,85,28,82
Aceh Selatan_2023-11-26T18:00:00,Aceh Selatan,2023-11-26 18:00:00,3,Berawan,95,24,75
Aceh Singkil_2023-11-26T00:00:00,Aceh Singkil,2023-11-26 00:00:00,3,Berawan,90,25,77
Aceh Singkil_2023-11-26T06:00:00,Aceh Singkil,2023-11-26 06:00:00,1,Cerah Berawan,75,30,86
Aceh Singkil_2023-11-26T12:00:00,Aceh Singkil,2023-11-26 12:00:00,1,Cerah Berawan,85,28,82
Aceh Singkil_2023-11-26T18:00:00,Aceh Singkil,2023-11-26 18:00:00,3,Berawan,95,24,75
Aceh Tamiang_2023-11-26T00:00:00,Aceh Tamiang,2023-11-26 00:00:00,1,Cerah Berawan,90,25,77
Aceh Tamiang_2023-11-26T06:00:00,Aceh Tamiang,2023-11-26 06:00:00,95,Hujan Petir,75,30,86
Aceh Tamiang_2023-11-26T12:00:00,Aceh Tamiang,2023-11-26 12:00:00,3,Berawan,85,28,82
Aceh Tamiang_2023-11-26T18:00:00,Aceh Tamiang,2023-11-26 18:00:00,60,Hujan Ringan,95,24,75
Aceh Tengah_2023-11-26T00:00:00,Aceh Tengah,2023-11-26 00:00:00,60,Hujan Ringan,95,19,66
Aceh Tengah_2023-11-26T06:00:00,Aceh Tengah,2023-11-26 06:00:00,95,Hujan Petir,80,24,75
Aceh Tengah_2023-11-26T12:00:00,Aceh Tengah,2023-11-26 12:00:00,60,Hujan Ringan,90,21,70
Aceh Tengah_2023-11-26T18:00:00,Aceh Tengah,2023-11-26 18:00:00,60,Hujan Ringan,100,18,64
Aceh Tenggara_2023-11-26T00:00:00,Aceh Tenggara,2023-11-26 00:00:00,3,Berawan,95,19,66
Aceh Tenggara_2023-11-26T06:00:00,Aceh Tenggara,2023-11-26 06:00:00,60,Hujan Ringan,80,24,75
Aceh Tenggara_2023-11-26T12:00:00,Aceh Tenggara,2023-11-26 12:00:00,60,Hujan Ringan,90,21,70
