id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-30T00:00:00,Aceh Barat Daya,2023-11-30 00:00:00,1,Cerah Berawan,90,23,73
Aceh Barat Daya_2023-11-30T06:00:00,Aceh Barat Daya,2023-11-30 06:00:00,1,Cerah Berawan,80,27,81
Aceh Barat Daya_2023-11-30T12:00:00,Aceh Barat Daya,2023-11-30 12:00:00,60,Hujan Ringan,95,24,75
Aceh Barat Daya_2023-11-30T18:00:00,Aceh Barat Daya,2023-11-30 18:00:00,3,Berawan,90,24,75
Aceh Barat_2023-11-30T00:00:00,Aceh Barat,2023-11-30 00:00:00,1,Cerah Berawan,95,24,75
Aceh Barat_2023-11-30T06:00:00,Aceh Barat,2023-11-30 06:00:00,1,Cerah Berawan,80,28,82
Aceh Barat_2023-11-30T12:00:00,Aceh Barat,2023-11-30 12:00:00,1,Cerah Berawan,90,27,81
Aceh Barat_2023-11-30T18:00:00,Aceh Barat,2023-11-30 18:00:00,1,Cerah Berawan,95,25,77
Aceh Besar_2023-11-30T00:00:00,Aceh Besar,2023-11-30 00:00:00,1,Cerah Berawan,90,21,70
Aceh Besar_2023-11-30T06:00:00,Aceh Besar,2023-11-30 06:00:00,1,Cerah Berawan,85,26,79
Aceh Besar_2023-11-30T12:00:00,Aceh Besar,2023-11-30 12:00:00,3,Berawan,95,23,73
Aceh Besar_2023-11-30T18:00:00,Aceh Besar,2023-11-30 18:00:00,1,Cerah Berawan,90,21,70
Aceh Jaya_2023-11-30T00:00:00,Aceh Jaya,2023-11-30 00:00:00,1,Cerah Berawan,95,23,73
Aceh Jaya_2023-11-30T06:00:00,Aceh Jaya,2023-11-30 06:00:00,1,Cerah Berawan,85,27,81
Aceh Jaya_2023-11-30T12:00:00,Aceh Jaya,2023-11-30 12:00:00,1,Cerah Berawan,90,26,79
Aceh Jaya_2023-11-30T18:00:00,Aceh Jaya,2023-11-30 18:00:00,1,Cerah Berawan,95,24,75
