id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-28T00:00:00,Aceh Barat Daya,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Barat Daya_2023-11-28T06:00:00,Aceh Barat Daya,2023-11-28 06:00:00,3,Berawan,65,31,88
Aceh Barat Daya_2023-11-28T12:00:00,Aceh Barat Daya,2023-11-28 12:00:00,3,Berawan,85,24,75
Aceh Barat Daya_2023-11-28T18:00:00,Aceh Barat Daya,2023-11-28 18:00:00,3,Berawan,95,23,73
Aceh Barat_2023-11-28T00:00:00,Aceh Barat,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Barat_2023-11-28T06:00:00,Aceh Barat,2023-11-28 06:00:00,60,Hujan Ringan,65,31,88
Aceh Barat_2023-11-28T12:00:00,Aceh Barat,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Aceh Barat_2023-11-28T18:00:00,Aceh Barat,2023-11-28 18:00:00,95,Hujan Petir,95,23,73
Aceh Besar_2023-11-28T00:00:00,Aceh Besar,2023-11-28 00:00:00,1,Cerah Berawan,95,23,73
Aceh Besar_2023-11-28T06:00:00,Aceh Besar,2023-11-28 06:00:00,95,Hujan Petir,65,30,86
Aceh Besar_2023-11-28T12:00:00,Aceh Besar,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Aceh Besar_2023-11-28T18:00:00,Aceh Besar,2023-11-28 18:00:00,60,Hujan Ringan,95,23,73
Aceh Jaya_2023-11-28T00:00:00,Aceh Jaya,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Jaya_2023-11-28T06:00:00,Aceh Jaya,2023-11-28 06:00:00,60,Hujan Ringan,65,31,88
Aceh Jaya_2023-11-28T12:00:00,Aceh Jaya,2023-11-28 12:00:00,4,Berawan Tebal,85,24,75
Aceh Jaya_2023-11-28T18:00:00,Aceh Jaya,2023-11-28 18:00:00,95,Hujan Petir,95,23,73
Aceh Selatan_2023-11-28T00:00:00,Aceh Selatan,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Selatan_2023-11-28T06:00:00,Aceh Selatan,2023-11-28 06:00:00,1,Cerah Berawan,65,31,88
Aceh Selatan_2023-11-28T12:00:00,Aceh Selatan,2023-11-28 12:00:00,3,Berawan,85,24,75
Aceh Selatan_2023-11-28T18:00:00,Aceh Selatan,2023-11-28 18:00:00,3,Berawan,95,23,73
Aceh Singkil_2023-11-28T00:00:00,Aceh Singkil,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Singkil_2023-11-28T06:00:00,Aceh Singkil,2023-11-28 06:00:00,3,Berawan,65,31,88
Aceh Singkil_2023-11-28T12:00:00,Aceh Singkil,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Aceh Singkil_2023-11-28T18:00:00,Aceh Singkil,2023-11-28 18:00:00,3,Berawan,95,23,73
Aceh Tamiang_2023-11-28T00:00:00,Aceh Tamiang,2023-11-28 00:00:00,45,Berkabut,95,23,73
Aceh Tamiang_2023-11-28T06:00:00,Aceh Tamiang,2023-11-28 06:00:00,1,Cerah Berawan,65,31,88
Aceh Tamiang_2023-11-28T12:00:00,Aceh Tamiang,2023-11-28 12:00:00,95,Hujan Petir,85,24,75
Aceh Tamiang_2023-11-28T18:00:00,Aceh Tamiang,2023-11-28 18:00:00,1,Cerah Berawan,95,23,73
Aceh Tengah_2023-11-28T00:00:00,Aceh Tengah,2023-11-28 00:00:00,3,Berawan,100,17,63
Aceh Tengah_2023-11-28T06:00:00,Aceh Tengah,2023-11-28 06:00:00,60,Hujan Ringan,75,24,75
Aceh Tengah_2023-11-28T12:00:00,Aceh Tengah,2023-11-28 12:00:00,60,Hujan Ringan,95,19,66
Aceh Tengah_2023-11-28T18:00:00,Aceh Tengah,2023-11-28 18:00:00,60,Hujan Ringan,100,17,63
Aceh Tenggara_2023-11-28T00:00:00,Aceh Tenggara,2023-11-28 00:00:00,3,Berawan,100,17,63
Aceh Tenggara_2023-11-28T06:00:00,Aceh Tenggara,2023-11-28 06:00:00,60,Hujan Ringan,75,24,75
Aceh Tenggara_2023-11-28T12:00:00,Aceh Tenggara,2023-11-28 12:00:00,95,Hujan Petir,95,19,66
Aceh Tenggara_2023-11-28T18:00:00,Aceh Tenggara,2023-11-28 18:00:00,3,Berawan,100,17,63
Aceh Timur_2023-11-28T00:00:00,Aceh Timur,2023-11-28 00:00:00,3,Berawan,95,23,73
Aceh Timur_2023-11-28T06:00:00,Aceh Timur,2023-11-28 06:00:00,1,Cerah Berawan,65,31,88
Aceh Timur_2023-11-28T12:00:00,Aceh Timur,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Aceh Timur_2023-11-28T18:00:00,Aceh Timur,2023-11-28 18:00:00,1,Cerah Berawan,95,23,73
Aceh Utara_2023-11-28T00:00:00,Aceh Utara,2023-11-28 00:00:00,1,Cerah Berawan,95,23,73
Aceh Utara_2023-11-28T06:00:00,Aceh Utara,2023-11-28 06:00:00,63,Hujan Lebat,65,30,86
Aceh Utara_2023-11-28T12:00:00,Aceh Utara,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Aceh Utara_2023-11-28T18:00:00,Aceh Utara,2023-11-28 18:00:00,60,Hujan Ringan,95,23,73
Agam_2023-11-28T00:00:00,Agam,2023-11-28 00:00:00,1,Cerah Berawan,95,22,72
Agam_2023-11-28T06:00:00,Agam,2023-11-28 06:00:00,1,Cerah Berawan,80,26,79
Agam_2023-11-28T12:00:00,Agam,2023-11-28 12:00:00,3,Berawan,100,22,72
Agam_2023-11-28T18:00:00,Agam,2023-11-28 18:00:00,1,Cerah Berawan,95,22,72
Alor_2023-11-28T00:00:00,Alor,2023-11-28 00:00:00,1,Cerah Berawan,80,29,84
Alor_2023-11-28T06:00:00,Alor,2023-11-28 06:00:00,3,Berawan,60,33,91
Alor_2023-11-28T12:00:00,Alor,2023-11-28 12:00:00,60,Hujan Ringan,85,27,81
Alor_2023-11-28T18:00:00,Alor,2023-11-28 18:00:00,3,Berawan,95,25,77
Ambon_2023-11-28T00:00:00,Ambon,2023-11-28 00:00:00,60,Hujan Ringan,75,27,81
Ambon_2023-11-28T06:00:00,Ambon,2023-11-28 06:00:00,95,Hujan Petir,70,32,90
Ambon_2023-11-28T12:00:00,Ambon,2023-11-28 12:00:00,3,Berawan,85,26,79
Ambon_2023-11-28T18:00:00,Ambon,2023-11-28 18:00:00,3,Berawan,95,24,75
Anambas_2023-11-28T00:00:00,Anambas,2023-11-28 00:00:00,60,Hujan Ringan,75,30,86
Anambas_2023-11-28T06:00:00,Anambas,2023-11-28 06:00:00,3,Berawan,70,32,90
Anambas_2023-11-28T12:00:00,Anambas,2023-11-28 12:00:00,3,Berawan,85,28,82
Anambas_2023-11-28T18:00:00,Anambas,2023-11-28 18:00:00,3,Berawan,95,24,75
Asahan_2023-11-28T00:00:00,Asahan,2023-11-28 00:00:00,3,Berawan,100,23,73
Asahan_2023-11-28T06:00:00,Asahan,2023-11-28 06:00:00,1,Cerah Berawan,75,30,86
Asahan_2023-11-28T12:00:00,Asahan,2023-11-28 12:00:00,1,Cerah Berawan,95,25,77
Asahan_2023-11-28T18:00:00,Asahan,2023-11-28 18:00:00,1,Cerah Berawan,100,24,75
Asmat_2023-11-28T00:00:00,Asmat,2023-11-28 00:00:00,60,Hujan Ringan,70,27,81
Asmat_2023-11-28T06:00:00,Asmat,2023-11-28 06:00:00,60,Hujan Ringan,70,31,88
Asmat_2023-11-28T12:00:00,Asmat,2023-11-28 12:00:00,60,Hujan Ringan,85,26,79
Asmat_2023-11-28T18:00:00,Asmat,2023-11-28 18:00:00,61,Hujan Sedang,95,23,73
Badung_2023-11-28T00:00:00,Badung,2023-11-28 00:00:00,3,Berawan,75,27,81
Badung_2023-11-28T06:00:00,Badung,2023-11-28 06:00:00,60,Hujan Ringan,65,33,91
Badung_2023-11-28T12:00:00,Badung,2023-11-28 12:00:00,3,Berawan,75,30,86
Badung_2023-11-28T18:00:00,Badung,2023-11-28 18:00:00,3,Berawan,90,27,81
Balangan_2023-11-28T00:00:00,Balangan,2023-11-28 00:00:00,3,Berawan,85,28,82
Balangan_2023-11-28T06:00:00,Balangan,2023-11-28 06:00:00,95,Hujan Petir,65,31,88
Balangan_2023-11-28T12:00:00,Balangan,2023-11-28 12:00:00,60,Hujan Ringan,85,26,79
Balangan_2023-11-28T18:00:00,Balangan,2023-11-28 18:00:00,1,Cerah Berawan,95,24,75
Balikpapan_2023-11-28T00:00:00,Balikpapan,2023-11-28 00:00:00,3,Berawan,95,26,79
Balikpapan_2023-11-28T06:00:00,Balikpapan,2023-11-28 06:00:00,60,Hujan Ringan,80,29,84
Balikpapan_2023-11-28T12:00:00,Balikpapan,2023-11-28 12:00:00,1,Cerah Berawan,95,25,77
Balikpapan_2023-11-28T18:00:00,Balikpapan,2023-11-28 18:00:00,45,Berkabut,100,24,75
Banda Aceh_2023-11-28T00:00:00,Banda Aceh,2023-11-28 00:00:00,3,Berawan,95,23,73
Banda Aceh_2023-11-28T06:00:00,Banda Aceh,2023-11-28 06:00:00,95,Hujan Petir,65,30,86
Banda Aceh_2023-11-28T12:00:00,Banda Aceh,2023-11-28 12:00:00,60,Hujan Ringan,85,24,75
Banda Aceh_2023-11-28T18:00:00,Banda Aceh,2023-11-28 18:00:00,60,Hujan Ringan,95,23,73
Bandar Lampung_2023-11-28T00:00:00,Bandar Lampung,2023-11-28 00:00:00,3,Berawan,100,24,75
Bandar Lampung_2023-11-28T06:00:00,Bandar Lampung,2023-11-28 06:00:00,60,Hujan Ringan,70,29,84
Bandar Lampung_2023-11-28T12:00:00,Bandar Lampung,2023-11-28 12:00:00,61,Hujan Sedang,90,25,77
Bandar Lampung_2023-11-28T18:00:00,Bandar Lampung,2023-11-28 18:00:00,60,Hujan Ringan,100,23,73
Bandung Barat_2023-11-28T00:00:00,Bandung Barat,2023-11-28 00:00:00,1,Cerah Berawan,85,21,70
Bandung Barat_2023-11-28T06:00:00,Bandung Barat,2023-11-28 06:00:00,95,Hujan Petir,75,29,84
Bandung Barat_2023-11-28T12:00:00,Bandung Barat,2023-11-28 12:00:00,60,Hujan Ringan,90,19,66
Bandung Barat_2023-11-28T18:00:00,Bandung Barat,2023-11-28 18:00:00,3,Berawan,95,19,66
Bandung_2023-11-28T00:00:00,Bandung,2023-11-28 00:00:00,1,Cerah Berawan,85,22,72
Bandung_2023-11-28T06:00:00,Bandung,2023-11-28 06:00:00,95,Hujan Petir,70,31,88
Bandung_2023-11-28T12:00:00,Bandung,2023-11-28 12:00:00,3,Berawan,90,22,72
Bandung_2023-11-28T18:00:00,Bandung,2023-11-28 18:00:00,3,Berawan,95,19,66
Banggai Kepulauan_2023-11-28T00:00:00,Banggai Kepulauan,2023-11-28 00:00:00,60,Hujan Ringan,85,28,82
Banggai Kepulauan_2023-11-28T06:00:00,Banggai Kepulauan,2023-11-28 06:00:00,60,Hujan Ringan,75,33,91
Banggai Kepulauan_2023-11-28T12:00:00,Banggai Kepulauan,2023-11-28 12:00:00,3,Berawan,95,24,75
