id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Agam_2023-11-24T12:00:00,Agam,2023-11-24 12:00:00,3,Berawan,95,22,72
Agam_2023-11-24T18:00:00,Agam,2023-11-24 18:00:00,3,Berawan,95,21,70
Alor_2023-11-24T00:00:00,Alor,2023-11-24 00:00:00,1,Cerah Berawan,65,27,81
Alor_2023-11-24T06:00:00,Alor,2023-11-24 06:00:00,60,Hujan Ringan,60,34,93
Alor_2023-11-24T12:00:00,Alor,2023-11-24 12:00:00,3,Berawan,80,27,81
Alor_2023-11-24T18:00:00,Alor,2023-11-24 18:00:00,1,Cerah Berawan,90,25,77
Ambon_2023-11-24T00:00:00,Ambon,2023-11-24 00:00:00,3,Berawan,75,28,82
Ambon_2023-11-24T06:00:00,Ambon,2023-11-24 06:00:00,3,Berawan,65,33,91
Ambon_2023-11-24T12:00:00,Ambon,2023-11-24 12:00:00,60,Hujan Ringan,85,26,79
Ambon_2023-11-24T18:00:00,Ambon,2023-11-24 18:00:00,3,Berawan,90,23,73
Anambas_2023-11-24T00:00:00,Anambas,2023-11-24 00:00:00,60,Hujan Ringan,85,26,79
Anambas_2023-11-24T06:00:00,Anambas,2023-11-24 06:00:00,60,Hujan Ringan,70,32,90
Anambas_2023-11-24T12:00:00,Anambas,2023-11-24 12:00:00,60,Hujan Ringan,85,27,81
Anambas_2023-11-24T18:00:00,Anambas,2023-11-24 18:00:00,60,Hujan Ringan,95,25,77
Asahan_2023-11-24T00:00:00,Asahan,2023-11-24 00:00:00,60,Hujan Ringan,90,23,73
Asahan_2023-11-24T06:00:00,Asahan,2023-11-24 06:00:00,60,Hujan Ringan,70,29,84
Asahan_2023-11-24T12:00:00,Asahan,2023-11-24 12:00:00,63,Hujan Lebat,90,26,79
Asahan_2023-11-24T18:00:00,Asahan,2023-11-24 18:00:00,60,Hujan Ringan,95,23,73
Asmat_2023-11-24T00:00:00,Asmat,2023-11-24 00:00:00,1,Cerah Berawan,70,27,81
Asmat_2023-11-24T06:00:00,Asmat,2023-11-24 06:00:00,61,Hujan Sedang,70,31,88
Asmat_2023-11-24T12:00:00,Asmat,2023-11-24 12:00:00,3,Berawan,85,26,79
Asmat_2023-11-24T18:00:00,Asmat,2023-11-24 18:00:00,61,Hujan Sedang,95,23,73
Badung_2023-11-24T00:00:00,Badung,2023-11-24 00:00:00,1,Cerah Berawan,85,28,82
Badung_2023-11-24T06:00:00,Badung,2023-11-24 06:00:00,1,Cerah Berawan,70,32,90
Badung_2023-11-24T12:00:00,Badung,2023-11-24 12:00:00,1,Cerah Berawan,75,28,82
Badung_2023-11-24T18:00:00,Badung,2023-11-24 18:00:00,1,Cerah Berawan,90,26,79
Balangan_2023-11-24T00:00:00,Balangan,2023-11-24 00:00:00,3,Berawan,85,27,81
Balangan_2023-11-24T06:00:00,Balangan,2023-11-24 06:00:00,95,Hujan Petir,65,32,90
Balangan_2023-11-24T12:00:00,Balangan,2023-11-24 12:00:00,3,Berawan,85,27,81
Balangan_2023-11-24T18:00:00,Balangan,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Balikpapan_2023-11-24T00:00:00,Balikpapan,2023-11-24 00:00:00,60,Hujan Ringan,95,24,75
Balikpapan_2023-11-24T06:00:00,Balikpapan,2023-11-24 06:00:00,60,Hujan Ringan,75,30,86
Balikpapan_2023-11-24T12:00:00,Balikpapan,2023-11-24 12:00:00,95,Hujan Petir,95,25,77
Balikpapan_2023-11-24T18:00:00,Balikpapan,2023-11-24 18:00:00,45,Berkabut,100,23,73
Banda Aceh_2023-11-24T00:00:00,Banda Aceh,2023-11-24 00:00:00,60,Hujan Ringan,90,24,75
Banda Aceh_2023-11-24T06:00:00,Banda Aceh,2023-11-24 06:00:00,60,Hujan Ringan,70,31,88
Banda Aceh_2023-11-24T12:00:00,Banda Aceh,2023-11-24 12:00:00,1,Cerah Berawan,85,26,79
Banda Aceh_2023-11-24T18:00:00,Banda Aceh,2023-11-24 18:00:00,3,Berawan,95,24,75
Bandar Lampung_2023-11-24T00:00:00,Bandar Lampung,2023-11-24 00:00:00,3,Berawan,90,25,77
Bandar Lampung_2023-11-24T06:00:00,Bandar Lampung,2023-11-24 06:00:00,60,Hujan Ringan,75,29,84
Bandar Lampung_2023-11-24T12:00:00,Bandar Lampung,2023-11-24 12:00:00,60,Hujan Ringan,100,25,77
Bandar Lampung_2023-11-24T18:00:00,Bandar Lampung,2023-11-24 18:00:00,60,Hujan Ringan,100,24,75
Bandung Barat_2023-11-24T00:00:00,Bandung Barat,2023-11-24 00:00:00,3,Berawan,90,21,70
Bandung Barat_2023-11-24T06:00:00,Bandung Barat,2023-11-24 06:00:00,61,Hujan Sedang,80,28,82
Bandung Barat_2023-11-24T12:00:00,Bandung Barat,2023-11-24 12:00:00,3,Berawan,95,18,64
Bandung Barat_2023-11-24T18:00:00,Bandung Barat,2023-11-24 18:00:00,3,Berawan,95,19,66
Bandung_2023-11-24T00:00:00,Bandung,2023-11-24 00:00:00,3,Berawan,90,23,73
Bandung_2023-11-24T06:00:00,Bandung,2023-11-24 06:00:00,95,Hujan Petir,80,30,86
Bandung_2023-11-24T12:00:00,Bandung,2023-11-24 12:00:00,3,Berawan,95,25,77
Bandung_2023-11-24T18:00:00,Bandung,2023-11-24 18:00:00,3,Berawan,95,19,66
Banggai Kepulauan_2023-11-24T00:00:00,Banggai Kepulauan,2023-11-24 00:00:00,1,Cerah Berawan,95,26,79
Banggai Kepulauan_2023-11-24T06:00:00,Banggai Kepulauan,2023-11-24 06:00:00,60,Hujan Ringan,75,29,84
Banggai Kepulauan_2023-11-24T12:00:00,Banggai Kepulauan,2023-11-24 12:00:00,1,Cerah Berawan,90,25,77
Banggai Kepulauan_2023-11-24T18:00:00,Banggai Kepulauan,2023-11-24 18:00:00,3,Berawan,95,24,75
Banggai_2023-11-24T00:00:00,Banggai,2023-11-24 00:00:00,60,Hujan Ringan,95,25,77
Banggai_2023-11-24T06:00:00,Banggai,2023-11-24 06:00:00,60,Hujan Ringan,85,26,79
Banggai_2023-11-24T12:00:00,Banggai,2023-11-24 12:00:00,1,Cerah Berawan,90,23,73
Banggai_2023-11-24T18:00:00,Banggai,2023-11-24 18:00:00,3,Berawan,95,22,72
Bangka Barat_2023-11-24T00:00:00,Bangka Barat,2023-11-24 00:00:00,1,Cerah Berawan,90,26,79
Bangka Barat_2023-11-24T06:00:00,Bangka Barat,2023-11-24 06:00:00,60,Hujan Ringan,65,30,86
Bangka Barat_2023-11-24T12:00:00,Bangka Barat,2023-11-24 12:00:00,3,Berawan,95,25,77
Bangka Barat_2023-11-24T18:00:00,Bangka Barat,2023-11-24 18:00:00,60,Hujan Ringan,95,23,73
Bangka Selatan_2023-11-24T00:00:00,Bangka Selatan,2023-11-24 00:00:00,3,Berawan,100,23,73
Bangka Selatan_2023-11-24T06:00:00,Bangka Selatan,2023-11-24 06:00:00,60,Hujan Ringan,65,30,86
Bangka Selatan_2023-11-24T12:00:00,Bangka Selatan,2023-11-24 12:00:00,3,Berawan,95,24,75
Bangka Selatan_2023-11-24T18:00:00,Bangka Selatan,2023-11-24 18:00:00,95,Hujan Petir,100,23,73
Bangka Tengah_2023-11-24T00:00:00,Bangka Tengah,2023-11-24 00:00:00,1,Cerah Berawan,95,24,75
Bangka Tengah_2023-11-24T06:00:00,Bangka Tengah,2023-11-24 06:00:00,60,Hujan Ringan,65,30,86
Bangka Tengah_2023-11-24T12:00:00,Bangka Tengah,2023-11-24 12:00:00,60,Hujan Ringan,90,26,79
Bangka Tengah_2023-11-24T18:00:00,Bangka Tengah,2023-11-24 18:00:00,60,Hujan Ringan,95,24,75
Bangka_2023-11-24T00:00:00,Bangka,2023-11-24 00:00:00,1,Cerah Berawan,100,23,73
Bangka_2023-11-24T06:00:00,Bangka,2023-11-24 06:00:00,60,Hujan Ringan,65,30,86
Bangka_2023-11-24T12:00:00,Bangka,2023-11-24 12:00:00,60,Hujan Ringan,95,24,75
Bangka_2023-11-24T18:00:00,Bangka,2023-11-24 18:00:00,3,Berawan,95,23,73
