id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-21T00:00:00,Aceh Barat Daya,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Aceh Barat Daya_2023-11-21T06:00:00,Aceh Barat Daya,2023-11-21 06:00:00,95,Hujan Petir,75,30,86
Aceh Barat Daya_2023-11-21T12:00:00,Aceh Barat Daya,2023-11-21 12:00:00,60,Hujan Ringan,90,27,81
Aceh Barat Daya_2023-11-21T18:00:00,Aceh Barat Daya,2023-11-21 18:00:00,60,Hujan Ringan,95,24,75
Aceh Barat_2023-11-21T00:00:00,Aceh Barat,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Aceh Barat_2023-11-21T06:00:00,Aceh Barat,2023-11-21 06:00:00,95,Hujan Petir,75,30,86
Aceh Barat_2023-11-21T12:00:00,Aceh Barat,2023-11-21 12:00:00,60,Hujan Ringan,90,27,81
Aceh Barat_2023-11-21T18:00:00,Aceh Barat,2023-11-21 18:00:00,60,Hujan Ringan,95,24,75
Aceh Besar_2023-11-21T00:00:00,Aceh Besar,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Aceh Besar_2023-11-21T06:00:00,Aceh Besar,2023-11-21 06:00:00,95,Hujan Petir,75,30,86
Aceh Besar_2023-11-21T12:00:00,Aceh Besar,2023-11-21 12:00:00,3,Berawan,90,27,81
Aceh Besar_2023-11-21T18:00:00,Aceh Besar,2023-11-21 18:00:00,1,Cerah Berawan,95,24,75
Aceh Jaya_2023-11-21T00:00:00,Aceh Jaya,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Aceh Jaya_2023-11-21T06:00:00,Aceh Jaya,2023-11-21 06:00:00,60,Hujan Ringan,75,30,86
Aceh Jaya_2023-11-21T12:00:00,Aceh Jaya,2023-11-21 12:00:00,60,Hujan Ringan,90,27,81
Aceh Jaya_2023-11-21T18:00:00,Aceh Jaya,2023-11-21 18:00:00,60,Hujan Ringan,95,24,75
Aceh Selatan_2023-11-21T00:00:00,Aceh Selatan,2023-11-21 00:00:00,95,Hujan Petir,90,25,77
Aceh Selatan_2023-11-21T06:00:00,Aceh Selatan,2023-11-21 06:00:00,95,Hujan Petir,75,30,86
Aceh Selatan_2023-11-21T12:00:00,Aceh Selatan,2023-11-21 12:00:00,95,Hujan Petir,90,27,81
Aceh Selatan_2023-11-21T18:00:00,Aceh Selatan,2023-11-21 18:00:00,95,Hujan Petir,95,24,75
Aceh Singkil_2023-11-21T00:00:00,Aceh Singkil,2023-11-21 00:00:00,95,Hujan Petir,90,25,77
Aceh Singkil_2023-11-21T06:00:00,Aceh Singkil,2023-11-21 06:00:00,95,Hujan Petir,75,30,86
Aceh Singkil_2023-11-21T12:00:00,Aceh Singkil,2023-11-21 12:00:00,95,Hujan Petir,90,27,81
Aceh Singkil_2023-11-21T18:00:00,Aceh Singkil,2023-11-21 18:00:00,61,Hujan Sedang,95,24,75
Aceh Tamiang_2023-11-21T00:00:00,Aceh Tamiang,2023-11-21 00:00:00,95,Hujan Petir,90,25,77
Aceh Tamiang_2023-11-21T06:00:00,Aceh Tamiang,2023-11-21 06:00:00,63,Hujan Lebat,75,30,86
Aceh Tamiang_2023-11-21T12:00:00,Aceh Tamiang,2023-11-21 12:00:00,3,Berawan,90,27,81
Aceh Tamiang_2023-11-21T18:00:00,Aceh Tamiang,2023-11-21 18:00:00,3,Berawan,95,24,75
Aceh Tengah_2023-11-21T00:00:00,Aceh Tengah,2023-11-21 00:00:00,61,Hujan Sedang,95,19,66
Aceh Tengah_2023-11-21T06:00:00,Aceh Tengah,2023-11-21 06:00:00,95,Hujan Petir,80,24,75
Aceh Tengah_2023-11-21T12:00:00,Aceh Tengah,2023-11-21 12:00:00,60,Hujan Ringan,95,21,70
Aceh Tengah_2023-11-21T18:00:00,Aceh Tengah,2023-11-21 18:00:00,3,Berawan,100,18,64
Aceh Tenggara_2023-11-21T00:00:00,Aceh Tenggara,2023-11-21 00:00:00,60,Hujan Ringan,95,19,66
Aceh Tenggara_2023-11-21T06:00:00,Aceh Tenggara,2023-11-21 06:00:00,60,Hujan Ringan,80,24,75
Aceh Tenggara_2023-11-21T12:00:00,Aceh Tenggara,2023-11-21 12:00:00,60,Hujan Ringan,95,21,70
Aceh Tenggara_2023-11-21T18:00:00,Aceh Tenggara,2023-11-21 18:00:00,95,Hujan Petir,100,18,64
Aceh Timur_2023-11-21T00:00:00,Aceh Timur,2023-11-21 00:00:00,95,Hujan Petir,90,25,77
Aceh Timur_2023-11-21T06:00:00,Aceh Timur,2023-11-21 06:00:00,60,Hujan Ringan,75,30,86
Aceh Timur_2023-11-21T12:00:00,Aceh Timur,2023-11-21 12:00:00,3,Berawan,90,27,81
Aceh Timur_2023-11-21T18:00:00,Aceh Timur,2023-11-21 18:00:00,1,Cerah Berawan,95,24,75
Aceh Utara_2023-11-21T00:00:00,Aceh Utara,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Aceh Utara_2023-11-21T06:00:00,Aceh Utara,2023-11-21 06:00:00,60,Hujan Ringan,75,30,86
Aceh Utara_2023-11-21T12:00:00,Aceh Utara,2023-11-21 12:00:00,1,Cerah Berawan,90,27,81
Aceh Utara_2023-11-21T18:00:00,Aceh Utara,2023-11-21 18:00:00,1,Cerah Berawan,95,24,75
Agam_2023-11-21T00:00:00,Agam,2023-11-21 00:00:00,3,Berawan,95,22,72
Agam_2023-11-21T06:00:00,Agam,2023-11-21 06:00:00,3,Berawan,70,29,84
Agam_2023-11-21T12:00:00,Agam,2023-11-21 12:00:00,3,Berawan,100,22,72
Agam_2023-11-21T18:00:00,Agam,2023-11-21 18:00:00,3,Berawan,95,21,70
Alor_2023-11-21T00:00:00,Alor,2023-11-21 00:00:00,0,,70,28,82
Alor_2023-11-21T06:00:00,Alor,2023-11-21 06:00:00,3,Berawan,60,33,91
Alor_2023-11-21T12:00:00,Alor,2023-11-21 12:00:00,3,Berawan,80,27,81
Alor_2023-11-21T18:00:00,Alor,2023-11-21 18:00:00,1,Cerah Berawan,95,25,77
Ambon_2023-11-21T00:00:00,Ambon,2023-11-21 00:00:00,3,Berawan,80,26,79
Ambon_2023-11-21T06:00:00,Ambon,2023-11-21 06:00:00,1,Cerah Berawan,70,32,90
Ambon_2023-11-21T12:00:00,Ambon,2023-11-21 12:00:00,4,Berawan Tebal,90,27,81
Ambon_2023-11-21T18:00:00,Ambon,2023-11-21 18:00:00,1,Cerah Berawan,95,23,73
Anambas_2023-11-21T00:00:00,Anambas,2023-11-21 00:00:00,3,Berawan,85,27,81
Anambas_2023-11-21T06:00:00,Anambas,2023-11-21 06:00:00,63,Hujan Lebat,70,31,88
Anambas_2023-11-21T12:00:00,Anambas,2023-11-21 12:00:00,60,Hujan Ringan,85,27,81
Anambas_2023-11-21T18:00:00,Anambas,2023-11-21 18:00:00,60,Hujan Ringan,95,24,75
Asahan_2023-11-21T00:00:00,Asahan,2023-11-21 00:00:00,3,Berawan,95,24,75
Asahan_2023-11-21T06:00:00,Asahan,2023-11-21 06:00:00,60,Hujan Ringan,75,32,90
Asahan_2023-11-21T12:00:00,Asahan,2023-11-21 12:00:00,60,Hujan Ringan,85,25,77
Asahan_2023-11-21T18:00:00,Asahan,2023-11-21 18:00:00,1,Cerah Berawan,95,23,73
Asmat_2023-11-21T00:00:00,Asmat,2023-11-21 00:00:00,3,Berawan,70,27,81
Asmat_2023-11-21T06:00:00,Asmat,2023-11-21 06:00:00,60,Hujan Ringan,70,31,88
Asmat_2023-11-21T12:00:00,Asmat,2023-11-21 12:00:00,61,Hujan Sedang,80,26,79
Asmat_2023-11-21T18:00:00,Asmat,2023-11-21 18:00:00,60,Hujan Ringan,95,23,73
Badung_2023-11-21T00:00:00,Badung,2023-11-21 00:00:00,1,Cerah Berawan,75,25,77
Badung_2023-11-21T06:00:00,Badung,2023-11-21 06:00:00,3,Berawan,60,32,90
Badung_2023-11-21T12:00:00,Badung,2023-11-21 12:00:00,3,Berawan,70,28,82
Badung_2023-11-21T18:00:00,Badung,2023-11-21 18:00:00,3,Berawan,90,26,79
Balangan_2023-11-21T00:00:00,Balangan,2023-11-21 00:00:00,1,Cerah Berawan,80,27,81
Balangan_2023-11-21T06:00:00,Balangan,2023-11-21 06:00:00,60,Hujan Ringan,60,33,91
Balangan_2023-11-21T12:00:00,Balangan,2023-11-21 12:00:00,3,Berawan,80,26,79
Balangan_2023-11-21T18:00:00,Balangan,2023-11-21 18:00:00,1,Cerah Berawan,90,24,75
Balikpapan_2023-11-21T00:00:00,Balikpapan,2023-11-21 00:00:00,3,Berawan,100,25,77
Balikpapan_2023-11-21T06:00:00,Balikpapan,2023-11-21 06:00:00,3,Berawan,80,28,82
Balikpapan_2023-11-21T12:00:00,Balikpapan,2023-11-21 12:00:00,1,Cerah Berawan,95,25,77
Balikpapan_2023-11-21T18:00:00,Balikpapan,2023-11-21 18:00:00,45,Berkabut,100,24,75
Banda Aceh_2023-11-21T00:00:00,Banda Aceh,2023-11-21 00:00:00,60,Hujan Ringan,90,25,77
Banda Aceh_2023-11-21T06:00:00,Banda Aceh,2023-11-21 06:00:00,60,Hujan Ringan,75,30,86
Banda Aceh_2023-11-21T12:00:00,Banda Aceh,2023-11-21 12:00:00,3,Berawan,90,27,81
Banda Aceh_2023-11-21T18:00:00,Banda Aceh,2023-11-21 18:00:00,1,Cerah Berawan,95,24,75
Bandar Lampung_2023-11-21T00:00:00,Bandar Lampung,2023-11-21 00:00:00,0,Cerah,80,26,79
Bandar Lampung_2023-11-21T06:00:00,Bandar Lampung,2023-11-21 06:00:00,60,Hujan Ringan,70,30,86
Bandar Lampung_2023-11-21T12:00:00,Bandar Lampung,2023-11-21 12:00:00,1,Cerah Berawan,80,26,79
Bandar Lampung_2023-11-21T18:00:00,Bandar Lampung,2023-11-21 18:00:00,1,Cerah Berawan,90,24,75
Bandung Barat_2023-11-21T00:00:00,Bandung Barat,2023-11-21 00:00:00,1,Cerah Berawan,85,21,70
Bandung Barat_2023-11-21T06:00:00,Bandung Barat,2023-11-21 06:00:00,60,Hujan Ringan,55,27,81
Bandung Barat_2023-11-21T12:00:00,Bandung Barat,2023-11-21 12:00:00,3,Berawan,85,24,75
Bandung Barat_2023-11-21T18:00:00,Bandung Barat,2023-11-21 18:00:00,3,Berawan,90,23,73
Bandung_2023-11-21T00:00:00,Bandung,2023-11-21 00:00:00,1,Cerah Berawan,80,22,72
Bandung_2023-11-21T06:00:00,Bandung,2023-11-21 06:00:00,60,Hujan Ringan,55,31,88
Bandung_2023-11-21T12:00:00,Bandung,2023-11-21 12:00:00,3,Berawan,80,26,79
Bandung_2023-11-21T18:00:00,Bandung,2023-11-21 18:00:00,3,Berawan,90,24,75
Banggai Kepulauan_2023-11-21T00:00:00,Banggai Kepulauan,2023-11-21 00:00:00,1,Cerah Berawan,80,29,84
Banggai Kepulauan_2023-11-21T06:00:00,Banggai Kepulauan,2023-11-21 06:00:00,1,Cerah Berawan,70,30,86
Banggai Kepulauan_2023-11-21T12:00:00,Banggai Kepulauan,2023-11-21 12:00:00,60,Hujan Ringan,85,26,79
