id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-29T00:00:00,Aceh Barat Daya,2023-11-29 00:00:00,1,Cerah Berawan,85,25,77
Aceh Barat Daya_2023-11-29T06:00:00,Aceh Barat Daya,2023-11-29 06:00:00,63,Hujan Lebat,65,31,88
Aceh Barat Daya_2023-11-29T12:00:00,Aceh Barat Daya,2023-11-29 12:00:00,60,Hujan Ringan,85,26,79
Aceh Barat Daya_2023-11-29T18:00:00,Aceh Barat Daya,2023-11-29 18:00:00,1,Cerah Berawan,95,23,73
Aceh Barat_2023-11-29T00:00:00,Aceh Barat,2023-11-29 00:00:00,60,Hujan Ringan,85,25,77
Aceh Barat_2023-11-29T06:00:00,Aceh Barat,2023-11-29 06:00:00,95,Hujan Petir,65,30,86
Aceh Barat_2023-11-29T12:00:00,Aceh Barat,2023-11-29 12:00:00,1,Cerah Berawan,85,26,79
Aceh Barat_2023-11-29T18:00:00,Aceh Barat,2023-11-29 18:00:00,1,Cerah Berawan,95,23,73
Aceh Besar_2023-11-29T00:00:00,Aceh Besar,2023-11-29 00:00:00,1,Cerah Berawan,85,25,77
Aceh Besar_2023-11-29T06:00:00,Aceh Besar,2023-11-29 06:00:00,60,Hujan Ringan,65,31,88
Aceh Besar_2023-11-29T12:00:00,Aceh Besar,2023-11-29 12:00:00,60,Hujan Ringan,85,26,79
Aceh Besar_2023-11-29T18:00:00,Aceh Besar,2023-11-29 18:00:00,1,Cerah Berawan,95,23,73
Aceh Jaya_2023-11-29T00:00:00,Aceh Jaya,2023-11-29 00:00:00,60,Hujan Ringan,85,25,77
Aceh Jaya_2023-11-29T06:00:00,Aceh Jaya,2023-11-29 06:00:00,60,Hujan Ringan,65,31,88
Aceh Jaya_2023-11-29T12:00:00,Aceh Jaya,2023-11-29 12:00:00,60,Hujan Ringan,85,26,79
Aceh Jaya_2023-11-29T18:00:00,Aceh Jaya,2023-11-29 18:00:00,1,Cerah Berawan,95,23,73
Aceh Selatan_2023-11-29T00:00:00,Aceh Selatan,2023-11-29 00:00:00,3,Berawan,85,25,77
Aceh Selatan_2023-11-29T06:00:00,Aceh Selatan,2023-11-29 06:00:00,60,Hujan Ringan,65,31,88
Aceh Selatan_2023-11-29T12:00:00,Aceh Selatan,2023-11-29 12:00:00,3,Berawan,85,26,79
Aceh Selatan_2023-11-29T18:00:00,Aceh Selatan,2023-11-29 18:00:00,3,Berawan,95,23,73
Aceh Singkil_2023-11-29T00:00:00,Aceh Singkil,2023-11-29 00:00:00,3,Berawan,85,25,77
Aceh Singkil_2023-11-29T06:00:00,Aceh Singkil,2023-11-29 06:00:00,3,Berawan,65,31,88
Aceh Singkil_2023-11-29T12:00:00,Aceh Singkil,2023-11-29 12:00:00,3,Berawan,85,26,79
Aceh Singkil_2023-11-29T18:00:00,Aceh Singkil,2023-11-29 18:00:00,3,Berawan,95,23,73
Aceh Tamiang_2023-11-29T00:00:00,Aceh Tamiang,2023-11-29 00:00:00,45,Berkabut,85,25,77
Aceh Tamiang_2023-11-29T06:00:00,Aceh Tamiang,2023-11-29 06:00:00,63,Hujan Lebat,65,31,88
Aceh Tamiang_2023-11-29T12:00:00,Aceh Tamiang,2023-11-29 12:00:00,3,Berawan,85,26,79
Aceh Tamiang_2023-11-29T18:00:00,Aceh Tamiang,2023-11-29 18:00:00,3,Berawan,95,23,73
Aceh Tengah_2023-11-29T00:00:00,Aceh Tengah,2023-11-29 00:00:00,60,Hujan Ringan,95,20,68
Aceh Tengah_2023-11-29T06:00:00,Aceh Tengah,2023-11-29 06:00:00,95,Hujan Petir,75,26,79
Aceh Tengah_2023-11-29T12:00:00,Aceh Tengah,2023-11-29 12:00:00,95,Hujan Petir,90,21,70
Aceh Tengah_2023-11-29T18:00:00,Aceh Tengah,2023-11-29 18:00:00,60,Hujan Ringan,100,18,64
Aceh Tenggara_2023-11-29T00:00:00,Aceh Tenggara,2023-11-29 00:00:00,1,Cerah Berawan,95,20,68
Aceh Tenggara_2023-11-29T06:00:00,Aceh Tenggara,2023-11-29 06:00:00,95,Hujan Petir,75,26,79
Aceh Tenggara_2023-11-29T12:00:00,Aceh Tenggara,2023-11-29 12:00:00,60,Hujan Ringan,90,21,70
Aceh Tenggara_2023-11-29T18:00:00,Aceh Tenggara,2023-11-29 18:00:00,1,Cerah Berawan,100,18,64
Aceh Timur_2023-11-29T00:00:00,Aceh Timur,2023-11-29 00:00:00,3,Berawan,85,25,77
Aceh Timur_2023-11-29T06:00:00,Aceh Timur,2023-11-29 06:00:00,1,Cerah Berawan,65,31,88
Aceh Timur_2023-11-29T12:00:00,Aceh Timur,2023-11-29 12:00:00,95,Hujan Petir,85,26,79
Aceh Timur_2023-11-29T18:00:00,Aceh Timur,2023-11-29 18:00:00,3,Berawan,95,23,73
Aceh Utara_2023-11-29T00:00:00,Aceh Utara,2023-11-29 00:00:00,1,Cerah Berawan,85,25,77
Aceh Utara_2023-11-29T06:00:00,Aceh Utara,2023-11-29 06:00:00,60,Hujan Ringan,65,31,88
Aceh Utara_2023-11-29T12:00:00,Aceh Utara,2023-11-29 12:00:00,60,Hujan Ringan,85,26,79
Aceh Utara_2023-11-29T18:00:00,Aceh Utara,2023-11-29 18:00:00,3,Berawan,95,23,73
Agam_2023-11-29T00:00:00,Agam,2023-11-29 00:00:00,3,Berawan,95,23,73
Agam_2023-11-29T06:00:00,Agam,2023-11-29 06:00:00,3,Berawan,80,30,86
Agam_2023-11-29T12:00:00,Agam,2023-11-29 12:00:00,3,Berawan,95,22,72
Agam_2023-11-29T18:00:00,Agam,2023-11-29 18:00:00,3,Berawan,95,21,70
Alor_2023-11-29T00:00:00,Alor,2023-11-29 00:00:00,1,Cerah Berawan,75,28,82
Alor_2023-11-29T06:00:00,Alor,2023-11-29 06:00:00,95,Hujan Petir,60,34,93
Alor_2023-11-29T12:00:00,Alor,2023-11-29 12:00:00,1,Cerah Berawan,80,28,82
Alor_2023-11-29T18:00:00,Alor,2023-11-29 18:00:00,3,Berawan,95,25,77
Ambon_2023-11-29T00:00:00,Ambon,2023-11-29 00:00:00,3,Berawan,80,27,81
Ambon_2023-11-29T06:00:00,Ambon,2023-11-29 06:00:00,95,Hujan Petir,70,33,91
Ambon_2023-11-29T12:00:00,Ambon,2023-11-29 12:00:00,3,Berawan,90,26,79
Ambon_2023-11-29T18:00:00,Ambon,2023-11-29 18:00:00,3,Berawan,95,24,75
Anambas_2023-11-29T00:00:00,Anambas,2023-11-29 00:00:00,3,Berawan,85,27,81
Anambas_2023-11-29T06:00:00,Anambas,2023-11-29 06:00:00,60,Hujan Ringan,70,32,90
Anambas_2023-11-29T12:00:00,Anambas,2023-11-29 12:00:00,60,Hujan Ringan,85,27,81
Anambas_2023-11-29T18:00:00,Anambas,2023-11-29 18:00:00,95,Hujan Petir,95,25,77
Asahan_2023-11-29T00:00:00,Asahan,2023-11-29 00:00:00,1,Cerah Berawan,100,24,75
Asahan_2023-11-29T06:00:00,Asahan,2023-11-29 06:00:00,60,Hujan Ringan,70,31,88
Asahan_2023-11-29T12:00:00,Asahan,2023-11-29 12:00:00,60,Hujan Ringan,95,25,77
Asahan_2023-11-29T18:00:00,Asahan,2023-11-29 18:00:00,1,Cerah Berawan,100,23,73
Asmat_2023-11-29T00:00:00,Asmat,2023-11-29 00:00:00,1,Cerah Berawan,70,27,81
Asmat_2023-11-29T06:00:00,Asmat,2023-11-29 06:00:00,60,Hujan Ringan,70,31,88
Asmat_2023-11-29T12:00:00,Asmat,2023-11-29 12:00:00,3,Berawan,85,26,79
Asmat_2023-11-29T18:00:00,Asmat,2023-11-29 18:00:00,60,Hujan Ringan,95,23,73
Badung_2023-11-29T00:00:00,Badung,2023-11-29 00:00:00,3,Berawan,75,27,81
Badung_2023-11-29T06:00:00,Badung,2023-11-29 06:00:00,3,Berawan,60,31,88
Badung_2023-11-29T12:00:00,Badung,2023-11-29 12:00:00,3,Berawan,75,27,81
Badung_2023-11-29T18:00:00,Badung,2023-11-29 18:00:00,3,Berawan,85,25,77
Balangan_2023-11-29T00:00:00,Balangan,2023-11-29 00:00:00,1,Cerah Berawan,80,28,82
Balangan_2023-11-29T06:00:00,Balangan,2023-11-29 06:00:00,60,Hujan Ringan,65,32,90
Balangan_2023-11-29T12:00:00,Balangan,2023-11-29 12:00:00,3,Berawan,85,26,79
Balangan_2023-11-29T18:00:00,Balangan,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
Balikpapan_2023-11-29T00:00:00,Balikpapan,2023-11-29 00:00:00,1,Cerah Berawan,95,25,77
Balikpapan_2023-11-29T06:00:00,Balikpapan,2023-11-29 06:00:00,4,Berawan Tebal,70,30,86
Balikpapan_2023-11-29T12:00:00,Balikpapan,2023-11-29 12:00:00,1,Cerah Berawan,90,25,77
Balikpapan_2023-11-29T18:00:00,Balikpapan,2023-11-29 18:00:00,3,Berawan,100,24,75
Banda Aceh_2023-11-29T00:00:00,Banda Aceh,2023-11-29 00:00:00,3,Berawan,85,25,77
Banda Aceh_2023-11-29T06:00:00,Banda Aceh,2023-11-29 06:00:00,95,Hujan Petir,65,31,88
Banda Aceh_2023-11-29T12:00:00,Banda Aceh,2023-11-29 12:00:00,60,Hujan Ringan,85,26,79
Banda Aceh_2023-11-29T18:00:00,Banda Aceh,2023-11-29 18:00:00,3,Berawan,95,23,73
Bandar Lampung_2023-11-29T00:00:00,Bandar Lampung,2023-11-29 00:00:00,3,Berawan,90,25,77
Bandar Lampung_2023-11-29T06:00:00,Bandar Lampung,2023-11-29 06:00:00,61,Hujan Sedang,90,26,79
Bandar Lampung_2023-11-29T12:00:00,Bandar Lampung,2023-11-29 12:00:00,60,Hujan Ringan,90,24,75
Bandar Lampung_2023-11-29T18:00:00,Bandar Lampung,2023-11-29 18:00:00,3,Berawan,95,23,73
Bandung Barat_2023-11-29T00:00:00,Bandung Barat,2023-11-29 00:00:00,1,Cerah Berawan,90,23,73
Bandung Barat_2023-11-29T06:00:00,Bandung Barat,2023-11-29 06:00:00,95,Hujan Petir,75,30,86
Bandung Barat_2023-11-29T12:00:00,Bandung Barat,2023-11-29 12:00:00,60,Hujan Ringan,85,23,73
Bandung Barat_2023-11-29T18:00:00,Bandung Barat,2023-11-29 18:00:00,3,Berawan,95,21,70
Bandung_2023-11-29T00:00:00,Bandung,2023-11-29 00:00:00,60,Hujan Ringan,85,24,75
Bandung_2023-11-29T06:00:00,Bandung,2023-11-29 06:00:00,95,Hujan Petir,70,31,88
Bandung_2023-11-29T12:00:00,Bandung,2023-11-29 12:00:00,60,Hujan Ringan,85,24,75
Bandung_2023-11-29T18:00:00,Bandung,2023-11-29 18:00:00,3,Berawan,95,22,72
Banggai Kepulauan_2023-11-29T00:00:00,Banggai Kepulauan,2023-11-29 00:00:00,1,Cerah Berawan,90,26,79
Banggai Kepulauan_2023-11-29T06:00:00,Banggai Kepulauan,2023-11-29 06:00:00,1,Cerah Berawan,55,32,90
Banggai Kepulauan_2023-11-29T12:00:00,Banggai Kepulauan,2023-11-29 12:00:00,3,Berawan,90,26,79
Banggai Kepulauan_2023-11-29T18:00:00,Banggai Kepulauan,2023-11-29 18:00:00,1,Cerah Berawan,95,25,77
Banggai_2023-11-29T00:00:00,Banggai,2023-11-29 00:00:00,1,Cerah Berawan,85,26,79
Banggai_2023-11-29T06:00:00,Banggai,2023-11-29 06:00:00,1,Cerah Berawan,60,33,91
Banggai_2023-11-29T12:00:00,Banggai,2023-11-29 12:00:00,1,Cerah Berawan,90,24,75
Banggai_2023-11-29T18:00:00,Banggai,2023-11-29 18:00:00,1,Cerah Berawan,90,23,73
Bangka Barat_2023-11-29T00:00:00,Bangka Barat,2023-11-29 00:00:00,4,Berawan Tebal,90,26,79
Bangka Barat_2023-11-29T06:00:00,Bangka Barat,2023-11-29 06:00:00,1,Cerah Berawan,70,30,86
Bangka Barat_2023-11-29T12:00:00,Bangka Barat,2023-11-29 12:00:00,60,Hujan Ringan,95,25,77
Bangka Barat_2023-11-29T18:00:00,Bangka Barat,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
Bangka Selatan_2023-11-29T00:00:00,Bangka Selatan,2023-11-29 00:00:00,3,Berawan,100,24,75
Bangka Selatan_2023-11-29T06:00:00,Bangka Selatan,2023-11-29 06:00:00,95,Hujan Petir,75,29,84
Bangka Selatan_2023-11-29T12:00:00,Bangka Selatan,2023-11-29 12:00:00,3,Berawan,90,25,77
Bangka Selatan_2023-11-29T18:00:00,Bangka Selatan,2023-11-29 18:00:00,60,Hujan Ringan,95,23,73
Bangka Tengah_2023-11-29T00:00:00,Bangka Tengah,2023-11-29 00:00:00,3,Berawan,100,25,77
Bangka Tengah_2023-11-29T06:00:00,Bangka Tengah,2023-11-29 06:00:00,1,Cerah Berawan,75,30,86
Bangka Tengah_2023-11-29T12:00:00,Bangka Tengah,2023-11-29 12:00:00,60,Hujan Ringan,95,25,77
Bangka Tengah_2023-11-29T18:00:00,Bangka Tengah,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
Bangka_2023-11-29T00:00:00,Bangka,2023-11-29 00:00:00,4,Berawan Tebal,100,24,75
Bangka_2023-11-29T06:00:00,Bangka,2023-11-29 06:00:00,95,Hujan Petir,75,31,88
Bangka_2023-11-29T12:00:00,Bangka,2023-11-29 12:00:00,60,Hujan Ringan,95,24,75
Bangka_2023-11-29T18:00:00,Bangka,2023-11-29 18:00:00,60,Hujan Ringan,90,23,73
Bangkalan_2023-11-29T00:00:00,Bangkalan,2023-11-29 00:00:00,4,Berawan Tebal,90,27,81
Bangkalan_2023-11-29T06:00:00,Bangkalan,2023-11-29 06:00:00,60,Hujan Ringan,65,32,90
Bangkalan_2023-11-29T12:00:00,Bangkalan,2023-11-29 12:00:00,3,Berawan,85,26,79
Bangkalan_2023-11-29T18:00:00,Bangkalan,2023-11-29 18:00:00,1,Cerah Berawan,90,25,77
Bangli_2023-11-29T00:00:00,Bangli,2023-11-29 00:00:00,3,Berawan,80,27,81
Bangli_2023-11-29T06:00:00,Bangli,2023-11-29 06:00:00,60,Hujan Ringan,65,31,88
Bangli_2023-11-29T12:00:00,Bangli,2023-11-29 12:00:00,3,Berawan,80,27,81
Bangli_2023-11-29T18:00:00,Bangli,2023-11-29 18:00:00,3,Berawan,90,25,77
Banjar_2023-11-29T00:00:00,Banjar,2023-11-29 00:00:00,60,Hujan Ringan,85,24,75
Banjar_2023-11-29T06:00:00,Banjar,2023-11-29 06:00:00,61,Hujan Sedang,65,31,88
Banjar_2023-11-29T12:00:00,Banjar,2023-11-29 12:00:00,3,Berawan,85,26,79
Banjar_2023-11-29T18:00:00,Banjar,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
Banjarbaru_2023-11-29T00:00:00,Banjarbaru,2023-11-29 00:00:00,1,Cerah Berawan,80,28,82
Banjarbaru_2023-11-29T06:00:00,Banjarbaru,2023-11-29 06:00:00,95,Hujan Petir,65,31,88
Banjarbaru_2023-11-29T12:00:00,Banjarbaru,2023-11-29 12:00:00,3,Berawan,85,26,79
Banjarbaru_2023-11-29T18:00:00,Banjarbaru,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
Banjarmasin_2023-11-29T00:00:00,Banjarmasin,2023-11-29 00:00:00,1,Cerah Berawan,80,28,82
Banjarmasin_2023-11-29T06:00:00,Banjarmasin,2023-11-29 06:00:00,60,Hujan Ringan,65,32,90
Banjarmasin_2023-11-29T12:00:00,Banjarmasin,2023-11-29 12:00:00,3,Berawan,85,26,79
Banjarmasin_2023-11-29T18:00:00,Banjarmasin,2023-11-29 18:00:00,1,Cerah Berawan,95,24,75
